ind_id,school,degreeName,schoolName,fieldOfStudy,startDate_year
22,"{'objectUrn': 'urn:li:school:4160021', 'entityUrn': 'urn:li:fs_miniSchool:4160021', 'active': True, 'schoolName': 'ESSEC | Télécom Paris - MS® Management des Systèmes d’Information en Réseaux (MSIR)', 'trackingId': 'L6zxFnHIRZukRmQi7Ktmng==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHqo8pqrqXaUQ/company-logo_'}",Master,ESSEC | Télécom Paris - MS® Management des Systèmes d’Information en Réseaux (MSIR),Informations Systems & Telecommunication Networks,1999.0
23,,Licence,Carleton University,,2014.0
23,,Master,EHESS - École des hautes études en sciences sociales,Etudes politiques,2015.0
23,"{'objectUrn': 'urn:li:school:21251', 'entityUrn': 'urn:li:fs_miniSchool:21251', 'active': True, 'schoolName': 'EHESS - Ecole des Hautes Etudes en Sciences Sociales', 'trackingId': 'pM16EX9VQCyQNx62POyt3A==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHViuibfRCPqA/company-logo_'}",Doctorat,EHESS - École des hautes études en sciences sociales,Etudes politiques,2018.0
24,"{'objectUrn': 'urn:li:school:21225', 'entityUrn': 'urn:li:fs_miniSchool:21225', 'active': True, 'schoolName': 'CELSA Paris-Sorbonne', 'trackingId': '8NIl/2uIQcy0kO8PPy2P3g==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHpXEhU_MTM6w/company-logo_'}",Master Communication politique,CELSA - Ecole des hautes études en sciences de l'information et de la communication,,2005.0
24,,Hypokhâgne - Khâgne,Lycée de Sèvres,,1998.0
24,"{'objectUrn': 'urn:li:school:19991', 'entityUrn': 'urn:li:fs_miniSchool:19991', 'active': True, 'schoolName': 'Sciences Po Grenoble', 'trackingId': 'z1klVNTITfiSQV7/TPrBdA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQEtvlzU8bHM_A/company-logo_'}",Diplome sciences Po,Institut d'Etudes Politiques de Grenoble,Sciences politiques,2000.0
25,"{'objectUrn': 'urn:li:school:12449', 'entityUrn': 'urn:li:fs_miniSchool:12449', 'active': True, 'schoolName': 'Institut catholique de Paris', 'trackingId': 'cy/M9URmSMmVGPEmChXnxA==', 'logoUrl': 'https://media.licdn.com/dms/image/C510BAQGgoKsBuhOB2Q/company-logo_'}",Master en Relations Européennes et Lobbying,Institut catholique de Paris,,2015.0
25,,,Ecole du Centre Chorégraphique National de Roubaix,Danse classique et contemporaine,2013.0
25,"{'objectUrn': 'urn:li:school:164034', 'entityUrn': 'urn:li:fs_miniSchool:164034', 'active': True, 'schoolName': 'Sciences Po Lille', 'trackingId': 'sN+Ait/VQDeGJMyu2ZvMDQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQFCMNGgkejfBg/company-logo_'}","Master en Stratégie, Intelligence et Gestion des Risques",Institut d'Etudes politiques de Lille,Relations et affaires internationales,2011.0
26,"{'objectUrn': 'urn:li:school:12550', 'entityUrn': 'urn:li:fs_miniSchool:12550', 'active': True, 'schoolName': 'Université Paris Nanterre', 'trackingId': '7WDkymqAQaK6RRBQ58kL2w==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQF-aQ6o5egnhQ/company-logo_'}",Master Degree - Law & Economics,Université Paris X Nanterre,Competition and market regulation,2011.0
26,"{'objectUrn': 'urn:li:school:4084215', 'entityUrn': 'urn:li:fs_miniSchool:4084215', 'active': True, 'schoolName': 'AllWomen', 'trackingId': 'MbGj//XCS3KZem1kUdrZow==', 'logoUrl': 'https://media.licdn.com/dms/image/D4E0BAQG7EiiiJCfmIw/company-logo_'}",Bootcamp,AllWomen,Product Management,2022.0
26,"{'objectUrn': 'urn:li:school:12519', 'entityUrn': 'urn:li:fs_miniSchool:12519', 'active': True, 'schoolName': 'UVSQ Université de Versailles Saint-Quentin-en-Yvelines', 'trackingId': 'fQX7a7DbS0uH7x0ca65lQA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGXMJZnms_oAQ/company-logo_'}",Master Degree Law,Université de Versailles Saint-Quentin-en-Yvelines,Public real estate law & public contract,2012.0
27,"{'objectUrn': 'urn:li:school:4076008', 'entityUrn': 'urn:li:fs_miniSchool:4076008', 'active': True, 'schoolName': ""école des métiers de l'information (SCOP SA)"", 'trackingId': 'Qr8Y9+JIR02Y3/RTM1S7/w==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQFviniipQfhkw/company-logo_'}",Graphiste plurimédia,école des métiers de l'information (SCOP SA),,2021.0
27,"{'objectUrn': 'urn:li:school:12559', 'entityUrn': 'urn:li:fs_miniSchool:12559', 'active': True, 'schoolName': 'Université Sorbonne Nouvelle', 'trackingId': 'ClqXMyqrTWKcOZzI/dmUig==', 'logoUrl': 'https://media.licdn.com/dms/image/D4E0BAQFSAb95geG2sw/company-logo_'}",,Université Sorbonne Nouvelle,"Communication, général",1991.0
27,"{'objectUrn': 'urn:li:school:481024', 'entityUrn': 'urn:li:fs_miniSchool:481024', 'active': True, 'schoolName': 'Université Paris Cité', 'trackingId': 'umZwRs5XQJuDAs+6iVWdbw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHSYq2IsbZ4EQ/company-logo_'}",,Université Paris Descartes,Sociologie et linguistique,1990.0
28,"{'objectUrn': 'urn:li:school:453153', 'entityUrn': 'urn:li:fs_miniSchool:453153', 'active': True, 'schoolName': 'emlyon business school', 'trackingId': 'Aq8UlwRYQc2RCQbDGJuU5A==', 'logoUrl': 'https://media.licdn.com/dms/image/D4E0BAQFYY9E8jYRA2g/company-logo_'}",Master of Science (MSc),EMLYON Business School,Finance and Consulting,2007.0
28,"{'objectUrn': 'urn:li:school:11106', 'entityUrn': 'urn:li:fs_miniSchool:11106', 'active': True, 'schoolName': 'East China Normal University', 'trackingId': '2C2clE8SSG+TRczSi5ZLJQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHawKVLAmBrIA/company-logo_'}",,East China Normal University,Asian Business Environment,2011.0
28,,,Lycée Carnot!,,
29,"{'objectUrn': 'urn:li:school:12436', 'entityUrn': 'urn:li:fs_miniSchool:12436', 'active': True, 'schoolName': 'ESSEC Business School', 'trackingId': 'RoD0ub8sRPu23JLaOR4LYw==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHOyFUSQ_Q2ww/company-logo_'}",Master of Science (MSc) in Management,ESSEC - ESSEC Business School,Specialization in Entrepreneurship,2010.0
29,,Preparation Class to enter Business Schools,Institution des Chartreux,,2008.0
29,"{'objectUrn': 'urn:li:school:19875', 'entityUrn': 'urn:li:fs_miniSchool:19875', 'active': True, 'schoolName': 'University of Cape Town', 'trackingId': 'auUosEbmQtm5LlILOSqKtg==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQEFCqoOrVEFCA/company-logo_'}",Graduate School of Business,University of Cape Town,"Exchange Student, 6 months",2013.0
30,"{'objectUrn': 'urn:li:school:43468', 'entityUrn': 'urn:li:fs_miniSchool:43468', 'active': True, 'schoolName': 'Hattemer', 'trackingId': 'qTrDrjlSRGCzM86riSrCKQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHNLbYV_WGItA/company-logo_'}",,Hattemer,,
30,"{'objectUrn': 'urn:li:school:12398', 'entityUrn': 'urn:li:fs_miniSchool:12398', 'active': True, 'schoolName': 'École Polytechnique', 'trackingId': '10ioIIyERPykeEQ7embGrQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQFVles59ko4gg/company-logo_'}",Master's degree,École Polytechnique,Économie,1988.0
30,"{'objectUrn': 'urn:li:school:4071063', 'entityUrn': 'urn:li:fs_miniSchool:4071063', 'active': True, 'schoolName': 'Collège Stanislas Paris', 'trackingId': 'jP2HXVs8SwGnYGJtc5zN9g==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHu5ofNwx1wXA/company-logo_'}",,Collège Stanislas Paris,,
31,"{'objectUrn': 'urn:li:school:12454', 'entityUrn': 'urn:li:fs_miniSchool:12454', 'active': True, 'schoolName': 'Sciences Po', 'trackingId': 'go1vKui4ToC+5+Z7evQdPQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGibH--XUFAAg/company-logo_'}",,Sciences Po,Economics and Finance - Political Science,1987.0
31,"{'objectUrn': 'urn:li:school:20306', 'entityUrn': 'urn:li:fs_miniSchool:20306', 'active': True, 'schoolName': 'Harvard Kennedy School', 'trackingId': 'QEJMsF46RCKu361DEbF+XQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGz7JtcRoH-Hg/company-logo_'}",Diploma,Harvard Kennedy School,in Global Leadership and Public Policy for the 21st century,2013.0
31,,,Ecole Nationale d'Administration,,2000.0
32,"{'objectUrn': 'urn:li:school:19993', 'entityUrn': 'urn:li:fs_miniSchool:19993', 'active': True, 'schoolName': ""Sciences Po Lyon - Institut d'Etudes Politiques"", 'trackingId': 'Y+Xi6zDzS6Cfr0Xbz7kmvg==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHRFN2RlfCuVw/company-logo_'}",Diplôme d'Établissement sur le Monde Arabe Contemporain - DEMAC,Institut d'Etudes Politiques de Lyon,,2013.0
32,"{'objectUrn': 'urn:li:school:12449', 'entityUrn': 'urn:li:fs_miniSchool:12449', 'active': True, 'schoolName': 'Institut catholique de Paris', 'trackingId': 'vQtiapBtSQWArm0wzdt/Ow==', 'logoUrl': 'https://media.licdn.com/dms/image/C510BAQGgoKsBuhOB2Q/company-logo_'}",Licence 1 Histoire/ Classe préparatoire aux concours IEP,Institut catholique de Paris,Histoire,2012.0
32,,,,,
33,,,,,
33,,,,,
33,"{'objectUrn': 'urn:li:school:12544', 'entityUrn': 'urn:li:fs_miniSchool:12544', 'active': True, 'schoolName': 'University of Paris I: Panthéon-Sorbonne', 'trackingId': 'w4zSAFu4SxW0cBw3WjT0Uw==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHvWURG309W3g/company-logo_'}",,Université Paris 1 Panthéon-Sorbonne,Sciences Economiques,1968.0
34,"{'objectUrn': 'urn:li:school:15635', 'entityUrn': 'urn:li:fs_miniSchool:15635', 'active': True, 'schoolName': 'Ateneo de Manila University', 'trackingId': '2zVcpMVHS0qgaZQNSg6FzQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQE-u2zCop0Eig/company-logo_'}",,Ateneo de Manila University,,2011.0
34,"{'objectUrn': 'urn:li:school:12454', 'entityUrn': 'urn:li:fs_miniSchool:12454', 'active': True, 'schoolName': 'Sciences Po', 'trackingId': '0auCE+5dTzKPvCsGMy0xuw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGibH--XUFAAg/company-logo_'}",Bachelor’s Degree,Sciences Po,,2009.0
34,"{'objectUrn': 'urn:li:school:12454', 'entityUrn': 'urn:li:fs_miniSchool:12454', 'active': True, 'schoolName': 'Sciences Po', 'trackingId': '5PXuHg8tTxCk16NhgCVU5Q==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGibH--XUFAAg/company-logo_'}",Master’s Degree,Sciences Po,Politiques de l'Environnement,2013.0
35,"{'objectUrn': 'urn:li:school:21238', 'entityUrn': 'urn:li:fs_miniSchool:21238', 'active': True, 'schoolName': 'Ecole supérieure de journalisme de Lille', 'trackingId': 'RZhVRvpSRiG6STZLx1L1Xw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQE0MtN3h5LoyQ/company-logo_'}",,Ecole supérieure de journalisme de Lille,,2007.0
35,,,ESJ PRO,Community management,2016.0
35,"{'objectUrn': 'urn:li:school:164034', 'entityUrn': 'urn:li:fs_miniSchool:164034', 'active': True, 'schoolName': 'Sciences Po Lille', 'trackingId': 'YNqZBoOgQV69aKAXiAN79A==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQFCMNGgkejfBg/company-logo_'}",,Sciences Po Lille,,2002.0
36,"{'objectUrn': 'urn:li:school:12291', 'entityUrn': 'urn:li:fs_miniSchool:12291', 'active': True, 'schoolName': 'Réseau CFJ', 'trackingId': 'UCj3DuCsTUulVi7Myv5Ivw==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQGvgnPPEsb4bQ/company-logo_'}",Centre de formation des journalistes,CFJ,,1998.0
36,"{'objectUrn': 'urn:li:school:12548', 'entityUrn': 'urn:li:fs_miniSchool:12548', 'active': True, 'schoolName': 'Université Paris-Sorbonne', 'trackingId': '/dmudswIShOwaLc26oPYrA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHNNR5ZC7Q-yA/company-logo_'}",D.U.,Université Paris-Sorbonne,Techniques et langage des médias,1996.0
36,"{'objectUrn': 'urn:li:school:12548', 'entityUrn': 'urn:li:fs_miniSchool:12548', 'active': True, 'schoolName': 'Université Paris-Sorbonne', 'trackingId': 'Fn0eYigDRrmX4SMU9xCAkQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHNNR5ZC7Q-yA/company-logo_'}",Licence,Université Paris-Sorbonne,Lettres modernes,1994.0
37,"{'objectUrn': 'urn:li:school:12544', 'entityUrn': 'urn:li:fs_miniSchool:12544', 'active': True, 'schoolName': 'University of Paris I: Panthéon-Sorbonne', 'trackingId': 'W32heGURRR+FSOlNQwWVCw==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHvWURG309W3g/company-logo_'}",Master 2 Political Science,Université Paris 1 Panthéon-Sorbonne,Political science,2018.0
37,"{'objectUrn': 'urn:li:school:12523', 'entityUrn': 'urn:li:fs_miniSchool:12523', 'active': True, 'schoolName': 'Université Toulouse 1 Capitole', 'trackingId': 'GSo1YHHSS62gA6UuYnIFOg==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHt1It46vl4pQ/company-logo_'}",Master 2 (M2) in Political Science,Université Toulouse 1 Capitole,Political Science,2017.0
37,"{'objectUrn': 'urn:li:school:12239', 'entityUrn': 'urn:li:fs_miniSchool:12239', 'active': True, 'schoolName': 'Universidad Pablo de Olavide', 'trackingId': 'rGcPCQN7RhGIdbPygUGSGw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQEiicolZYOHuQ/company-logo_'}",Master 1 (M1) Law and Political Science,Universidad Pablo de Olavide,Droit,2016.0
38,,,,,
38,,,,,
38,,,,,
39,,Baccalauréat,Lycée Charles Péguy,Economics - Mathematics,2004.0
39,"{'objectUrn': 'urn:li:school:19908', 'entityUrn': 'urn:li:fs_miniSchool:19908', 'active': True, 'schoolName': 'ESCP Business School', 'trackingId': '5xcoaJceQV+AIeZqDDTKPQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQFiv0Ceayozxw/company-logo_'}",Master in Management,ESCP Business School,Business School,2008.0
39,,Classe Préparatoires aux Grandes Ecoles ECE,Lycée Montaigne,Economics,2006.0
40,"{'objectUrn': 'urn:li:school:10894', 'entityUrn': 'urn:li:fs_miniSchool:10894', 'active': True, 'schoolName': 'HEC Montréal', 'trackingId': 'n9UTQ9eWRGu/vqgkxEdGWw==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQFZ_p0E0-8U7g/company-logo_'}",Bachelor of Business Administration (BBA),Université de Montréal - HEC Montréal,"Finance, général",2008.0
40,"{'objectUrn': 'urn:li:school:12454', 'entityUrn': 'urn:li:fs_miniSchool:12454', 'active': True, 'schoolName': 'Sciences Po', 'trackingId': 'QFo5Qjp+S9mPwlst7msZtQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGibH--XUFAAg/company-logo_'}",Master's degree,Institut d'Etudes politiques de Paris,Marketing,2013.0
40,,Operation 3,Jericho x Alven,Web3,2022.0
41,,,,,
41,,,,,
41,"{'objectUrn': 'urn:li:school:12544', 'entityUrn': 'urn:li:fs_miniSchool:12544', 'active': True, 'schoolName': 'University of Paris I: Panthéon-Sorbonne', 'trackingId': 'oLvQN+n2QyS2BhQABGz4eA==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHvWURG309W3g/company-logo_'}",Master's degree in development and international cooperation,Université Panthéon Sorbonne (Paris I),Relations et affaires internationales,2003.0
42,"{'objectUrn': 'urn:li:school:12531', 'entityUrn': 'urn:li:fs_miniSchool:12531', 'active': True, 'schoolName': 'Université de Tours', 'trackingId': '5F648fxmQZiS03arwqMbjw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQEvuszUtf2HXw/company-logo_'}",Diplôme universitaire de technologie,Université François Rabelais de Tours,Métiers du Multimédia et de l'Internet,2006.0
42,"{'objectUrn': 'urn:li:school:12531', 'entityUrn': 'urn:li:fs_miniSchool:12531', 'active': True, 'schoolName': 'Université de Tours', 'trackingId': 'ma6YNQjbSLuhU5RIl4YAPw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQEvuszUtf2HXw/company-logo_'}",Bachelor's degree,Université François Rabelais de Tours,Multimedia product design and management,2008.0
42,,,,,
43,"{'objectUrn': 'urn:li:school:10415', 'entityUrn': 'urn:li:fs_miniSchool:10415', 'active': True, 'schoolName': 'Université catholique de Louvain', 'trackingId': 'qhaJrZc/T8itSyqSf/A4bg==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGpQ3G9ianp8w/company-logo_'}",Master,Université catholique de Louvain,Laws & Entrepreneurship,2007.0
43,"{'objectUrn': 'urn:li:school:19908', 'entityUrn': 'urn:li:fs_miniSchool:19908', 'active': True, 'schoolName': 'ESCP Business School', 'trackingId': 'z6i6bkwwQOyYgtHmp8fScQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQFiv0Ceayozxw/company-logo_'}",Postgraduate Master,ESCP Europe,Management (AMBA accreditation),2009.0
43,"{'objectUrn': 'urn:li:school:12243', 'entityUrn': 'urn:li:fs_miniSchool:12243', 'active': True, 'schoolName': 'Universidad Pontificia Comillas', 'trackingId': 'QAFpC29dR8etdQ9Ei79/1g==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQE5Lb4a81x5Sw/company-logo_'}",,Universidad Pontificia Comillas,Half year exchange programme (Erasmus) in Foreign Law,2007.0
44,,,,,
44,"{'objectUrn': 'urn:li:school:20366', 'entityUrn': 'urn:li:fs_miniSchool:20366', 'active': True, 'schoolName': 'EPITECH - European Institute of Technology', 'trackingId': '8biUm+dzQtGXIhCykr/S7w==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQEogO0_6QTmdg/company-logo_'}",Master of Information Technology,EPITECH - European Institute of Technology,,2006.0
44,,,,,
45,"{'objectUrn': 'urn:li:school:12548', 'entityUrn': 'urn:li:fs_miniSchool:12548', 'active': True, 'schoolName': 'Université Paris-Sorbonne', 'trackingId': 'jl4ip2a6S6yeUIAJyvfEzA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHNNR5ZC7Q-yA/company-logo_'}",Master Lettres Modernes Appliquées,Université Paris Sorbonne (Paris IV),Littérature,2002.0
45,"{'objectUrn': 'urn:li:school:21235', 'entityUrn': 'urn:li:fs_miniSchool:21235', 'active': True, 'schoolName': 'IFP - Institut français de presse', 'trackingId': 'xHxT4k9cTg2TCzM+6mh8Rw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQECrrn8EysjnQ/company-logo_'}",Master 2,IFP - Institut français de presse,Journalisme,2007.0
45,,Diplôme Universitaire,Université Paris 7,Mandarin,2002.0
46,"{'objectUrn': 'urn:li:school:12548', 'entityUrn': 'urn:li:fs_miniSchool:12548', 'active': True, 'schoolName': 'Université Paris-Sorbonne', 'trackingId': '6crlQSNdSNGhrkApzr16Fg==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHNNR5ZC7Q-yA/company-logo_'}",master 2,Université Paris-Sorbonne,"communication, marketing",2003.0
46,,Magistère,CELSA,"Communication, General",2004.0
46,,,,,
